niva,kod,namn,val,parti,andel
kommun,0191,,KF,C,3.93
kommun,0191,,KF,KD,4.69
kommun,0191,,KF,L,4.33
kommun,0191,,KF,M,30.71
kommun,0191,,KF,MP,3.21
kommun,0191,,KF,S,28.99
kommun,0191,,KF,SD,13.76
kommun,0191,,KF,Sigtunapartiet Samling för Sigtuna,2.51
kommun,0191,,KF,V,6.25
kommun,0192,,KF,C,3.6
kommun,0192,,KF,KD,4.79
kommun,0192,,KF,L,4.24
kommun,0192,,KF,M,21.99
kommun,0192,,KF,MP,4.03
kommun,0192,,KF,Medborgerlig Samling,1.06
kommun,0192,,KF,Pensionärspartiet i Nynäshamns kommun,2.33
kommun,0192,,KF,S,28.31
kommun,0192,,KF,SD,17.8
kommun,0192,,KF,Sorundanet Nynäshamns kommunparti,5.81
kommun,0192,,KF,V,5.75
kommun,0305,,KF,Bålstapartiet,8.16
kommun,0305,,KF,C,5.44
kommun,0305,,KF,HåboDemokraterna,6.27
kommun,0305,,KF,KD,4.37
kommun,0305,,KF,L,3.54
kommun,0305,,KF,M,21.09
kommun,0305,,KF,MP,2.23
kommun,0305,,KF,S,25.4
kommun,0305,,KF,SD,19.4
kommun,0305,,KF,V,3.62
kommun,0319,,KF,C,5.33
kommun,0319,,KF,KD,6.72
kommun,0319,,KF,Kommunens Väl,5.56
kommun,0319,,KF,L,1.6
kommun,0319,,KF,M,19.86
kommun,0319,,KF,MP,2.14
kommun,0319,,KF,S,32.52
kommun,0319,,KF,SD,20.38
kommun,0319,,KF,V,5.61
kommun,0330,,KF,C,5.72
kommun,0330,,KF,KD,11.26
kommun,0330,,KF,Knivsta.Nu,27.51
kommun,0330,,KF,L,3.53
kommun,0330,,KF,M,13.99
kommun,0330,,KF,MP,4.51
kommun,0330,,KF,S,15.34
kommun,0330,,KF,SD,12.57
kommun,0330,,KF,V,5.21
kommun,0331,,KF,C,15.49
kommun,0331,,KF,KD,9.08
kommun,0331,,KF,L,2.51
kommun,0331,,KF,M,13.06
kommun,0331,,KF,MP,2.78
kommun,0331,,KF,S,26.19
kommun,0331,,KF,SD,23.56
kommun,0331,,KF,Tillsammans - partiet för hela Heby kommun,1.16
kommun,0331,,KF,V,5.84
kommun,0360,,KF,C,15.92
kommun,0360,,KF,KD,4.8
kommun,0360,,KF,L,2.29
kommun,0360,,KF,M,13.5
kommun,0360,,KF,MP,2.77
kommun,0360,,KF,S,31.77
kommun,0360,,KF,SD,18.63
kommun,0360,,KF,Tierpslistan,4.46
kommun,0360,,KF,V,5.13
kommun,0380,,KF,C,8.26
kommun,0380,,KF,KD,6.83
kommun,0380,,KF,L,5.77
kommun,0380,,KF,M,17.08
kommun,0380,,KF,MP,6.43
kommun,0380,,KF,S,27.08
kommun,0380,,KF,SD,9.34
kommun,0380,,KF,Utvecklingspartiet demokraterna,2.6
kommun,0380,,KF,V,13.41
kommun,0381,,KF,C,6.93
kommun,0381,,KF,KD,6.21
kommun,0381,,KF,L,2.73
kommun,0381,,KF,M,20.22
kommun,0381,,KF,MP,3.16
kommun,0381,,KF,Nystart Enköping (NE),11.22
kommun,0381,,KF,S,25.8
kommun,0381,,KF,SD,17.72
kommun,0381,,KF,V,5.09
kommun,0382,,KF,C,8.85
kommun,0382,,KF,KD,8.87
kommun,0382,,KF,L,2.44
kommun,0382,,KF,Lokalpartiet BoA,5.85
kommun,0382,,KF,M,19.67
kommun,0382,,KF,MP,1.88
kommun,0382,,KF,S,29.53
kommun,0382,,KF,SD,17.78
kommun,0382,,KF,V,3.96
kommun,0428,,KF,C,6.85
kommun,0428,,KF,KD,4.46
kommun,0428,,KF,L,1.14
kommun,0428,,KF,M,18.34
kommun,0428,,KF,MP,2.46
kommun,0428,,KF,S,33.28
kommun,0428,,KF,SD,22.85
kommun,0428,,KF,V,4.48
kommun,0428,,KF,Vingåkerspartiet - VTL,5.94
kommun,0461,,KF,C,11.96
kommun,0461,,KF,Feministiskt initiativ,1.54
kommun,0461,,KF,KD,2.98
kommun,0461,,KF,L,2.53
kommun,0461,,KF,M,22.79
kommun,0461,,KF,MP,7.87
kommun,0461,,KF,S,24.39
kommun,0461,,KF,SD,15.84
kommun,0461,,KF,V,9.77
kommun,0480,,KF,C,7.32
kommun,0480,,KF,KD,4.58
kommun,0480,,KF,L,3.57
kommun,0480,,KF,M,24.31
kommun,0480,,KF,MP,5.28
kommun,0480,,KF,S,32.35
kommun,0480,,KF,SD,15.5
kommun,0480,,KF,V,6.19
kommun,0481,,KF,C,3.31
kommun,0481,,KF,KD,3.47
kommun,0481,,KF,L,2.14
kommun,0481,,KF,M,32.67
kommun,0481,,KF,MP,1.98
kommun,0481,,KF,S,32.08
kommun,0481,,KF,SD,12.2
kommun,0481,,KF,V,10.94
kommun,0482,,KF,C,10.49
kommun,0482,,KF,KD,4.86
kommun,0482,,KF,L,3.83
